x (Molar Fraction),Molar Volume (cm³/mol),"Shear Velocity (vS, m/s)","Bulk Modulus (B, GPa)",Poisson's Ratio (σ),Density (g/cm³),"Hardness (H, GPa)"
0.040832581,46.20837693,4832.719465,109.2868338,0.294943823,2.965405768,9.433660636
0.019474822,45.78536055,4240.696181,121.7967102,0.246107289,3.071159862,11.13256037
0.025224932,45.45664555,4453.394592,108.7370483,0.269908179,3.153338612,9.905123053
0.018239527,43.34078342,4630.039277,121.7138958,0.255969388,3.682304145,11.14468728
0.01521272,45.40975526,4214.743747,119.120734,0.252255212,3.165061185,11.02515173
0.049520558,46.68883229,4633.437212,103.0999095,0.300229428,2.845291927,8.238684765
0.020484519,44.2451469,4411.940163,123.2819631,0.292437567,3.456213274,11.13966468
0.015634744,45.57557107,4837.597751,119.5522621,0.292646219,3.123607232,10.29670055
0.043895517,45.47268818,4596.011935,118.9926273,0.296279495,3.149327956,11.36028743
0.046250183,45.83037395,4472.407443,106.8145106,0.295460914,3.059906513,9.00727183
0.039288768,43.62243044,4397.98793,97.88928841,0.250123117,3.611892391,8.26241271
0.011631006,44.81732315,4597.749537,104.3578672,0.274567845,3.313169213,8.849616824
0.019677267,43.03624837,4470.489327,115.6320125,0.252916548,3.758437908,9.925226819
0.034918162,46.27272909,4204.914377,122.717684,0.271452334,2.949317727,10.9476086
0.047962776,44.60455543,4684.762159,119.4590981,0.297890502,3.366361143,10.64081389
0.02838459,43.33228922,4277.818896,116.6401293,0.27326445,3.684427695,10.97133171
0.02806556,46.33586228,4538.813804,120.3403522,0.292505124,2.93353443,10.54530911
0.03461603,44.32415626,4450.509534,116.9055789,0.274562889,3.436460936,10.27368358
0.030422816,46.31543098,4166.285425,112.9029651,0.260184273,2.938642255,9.372068573
0.016821216,43.70039415,4216.462976,116.2700602,0.273703901,3.592401462,9.584755783
0.03195367,42.84363531,4579.042345,118.970052,0.249483622,3.806591172,10.43576615
0.044237008,44.7268314,4156.71897,112.0106083,0.257109737,3.335792151,10.32542569
0.018471926,43.67299346,4540.352246,116.7500651,0.25775318,3.599251634,9.923218193
0.023312734,46.78757792,4937.406142,107.3969676,0.265758315,2.820605519,9.592384926
0.045850269,45.37021057,4654.266257,105.2613267,0.282542935,3.174947357,9.605170397
0.041665603,44.12715977,4544.964604,119.9679804,0.298420778,3.485710058,10.16376869
0.031949352,42.92510685,4443.398376,118.0890113,0.247068624,3.786223288,10.71660881
0.047596975,45.37968892,4487.608884,116.9136116,0.300378077,3.17257777,9.852262874
0.026504874,43.45469164,4619.707817,106.1392551,0.262952739,3.653827089,8.807078392
0.014971889,46.74582783,4858.37652,109.7312119,0.297010254,2.831043041,10.09087077
0.033858683,46.29857637,4306.519701,109.3988863,0.245639133,2.942855907,9.515244888
0.01633145,45.09256355,4893.900713,124.838905,0.254502384,3.244359114,11.48679906
0.03545721,44.15919661,4481.439335,99.01964834,0.279489037,3.477700849,8.203757088
0.042391541,45.7153787,4706.241277,105.8248051,0.262413759,3.088655325,9.466475814
0.045019546,45.28065529,4234.736455,102.6344605,0.302523712,3.197336177,8.818218554
0.048059628,44.00476982,4722.816214,119.0756052,0.27419323,3.516307545,11.70137485
0.03292597,43.58902746,4670.946775,115.1043577,0.245276064,3.620243135,9.899620187
0.02704485,45.99712509,4866.793609,113.3031495,0.258376377,3.018218726,10.17456519
0.031276428,46.53992916,4650.118298,104.7088234,0.250088106,2.88251771,9.056771675
0.039869732,42.83418587,4570.100994,110.5520763,0.304815174,3.808953532,9.945249764
0.011823406,44.29221021,4285.072512,109.9218738,0.246955831,3.444447448,9.73152573
0.024025077,45.43446315,4563.594816,113.7770598,0.273646896,3.158884212,10.0263624
0.034203581,45.09461292,4887.479796,108.4957335,0.264869619,3.24384677,8.609720752
0.017660853,46.331223,4575.827897,120.8908002,0.257504856,2.934694249,10.86735521
0.047372165,43.15084187,4835.710388,123.1483236,0.268333419,3.729789532,11.8626866
0.037467144,46.6398489,4299.772412,111.3223672,0.28603768,2.857537775,10.34368018
0.021425064,43.65326111,4588.045379,102.3217274,0.295504178,3.604184722,9.259113926
0.018715702,45.92966069,4630.976642,125.8730193,0.300257802,3.035084826,11.59444933
0.015569815,43.43345896,4277.359041,104.1709168,0.260645595,3.65913526,9.093788461
0.040416003,45.95456161,4876.748557,119.41053,0.253151708,3.028859597,10.40517579
0.013641453,43.41580344,4481.035205,116.0630151,0.249741078,3.663549139,11.16404041
0.025311364,43.44821554,4519.559069,97.25408814,0.267774006,3.655446116,8.455499022
0.015087298,45.03216556,4449.399262,121.9992757,0.254752757,3.25945861,10.64725562
0.029096648,45.37173841,4353.320831,115.7298037,0.249932982,3.174565398,10.51370883
0.024448642,45.70768306,4679.285327,109.9298242,0.288910387,3.090579235,10.16159777
0.021788055,46.4740037,4424.960944,106.5490701,0.294916105,2.898999076,8.890815099
0.031277319,45.89744018,4912.996246,111.6373642,0.282983556,3.043139955,10.31265635
0.013340029,42.85465851,4848.943512,111.7640492,0.266772067,3.803835372,9.969425394
0.033934299,46.46388216,4402.504728,116.0662014,0.275277441,2.90152946,9.886065574
0.035225412,44.15640947,4867.798479,106.5822461,0.288839754,3.478397631,9.607578814
0.049393648,44.23831183,4569.513387,103.8704615,0.287408802,3.457922043,8.865332235
0.026108149,46.41687938,4350.843106,115.5060437,0.250839561,2.913280155,10.21510561
0.04654312,45.25923082,4275.858579,114.4193127,0.259507473,3.202692295,10.83381196
0.011214152,44.015395,4519.430354,116.5465881,0.266953131,3.513651251,10.09347284
0.030007917,43.20118746,4535.281901,107.9833864,0.244241544,3.717203135,8.287583101
